,title,lyrics
11, A Mão da Limpeza ,"`O branco inventou que o negro
Quando não suja na entrada
Vai sujar na saída, ê
Imagina só
Vai sujar na saída, ê
Imagina só
Que mentira danada, ê

Na verdade a mão escrava
Passava a vida limpando
O que o branco sujava, ê
Imagina só
O que o branco sujava, ê
Imagina só
O que o negro penava, ê

Mesmo depois de abolida a escravidão
Negra é a mão
De quem faz a limpeza
Lavando a roupa encardida, esfregando o chão
Negra é a mão
É a mão da pureza

Negra é a vida consumida ao pé do fogão
Negra é a mão
Nos preparando a mesa
Limpando as manchas do mundo com água e sabão
Negra é a mão
De imaculada nobreza

Na verdade a mão escrava
Passava a vida limpando
O que o branco sujava, ê
Imagina só
O que o branco sujava, ê
Imagina só
Eta branco sujão`"
12, a Moça Do Sonho ,"`Súbito me encantou
A moça em contraluz
Arrisquei perguntar: quem és?
Mas fraquejou a voz
Sem jeito eu lhe pegava as mãos
Como quem desatasse um nó
Soprei seu rosto sem pensar
E o rosto se desfez em pó

Por encanto voltou
Cantando a meia voz
Súbito perguntei: quem és?
Mas oscilou a luz
Fugia devagar de mim
E quando a segurei, gemeu
O seu vestido se partiu
E o rosto já não era o seu

Há de haver algum lugar
Um confuso casarão
Onde os sonhos serão reais
E a vida não
Por ali reinaria meu bem
Com seus risos, seus ais, sua tez
E uma cama onde à noite
Sonhasse comigo
Talvez

Um lugar deve existir
Uma espécie de bazar
Onde os sonhos extraviados
Vão parar
Entre escadas que fogem dos pés
E relógios que rodam pra trás
Se eu pudesse encontrar meu amor
Não voltava
Jamais`"
13, A Mulher de Cada Porto ,"`ELE
Quem me dera ficar meu amor, de uma vez 
Mas escuta o que dizem as ondas do mar 
Se eu me deixo amarrar por um mês 
Na amada de um porto 
Noutro porto outra amada é capaz 
De outro amor amarrar, ah 
Minha vida, querida, não é nenhum mar de rosas 
Chora não, vou voltar 
 
ELA
Quem me dera amarrar meu amor quase um mês 
Mas escuta o que dizem as pedras do cais 
Se eu deixasse juntar de uma vez meus amores num porto 
Transbordava a baía com todas as forças navais 
Minha vida, querido, não é nenhum mar de rosas 
Volta não, segue em paz 
 
OS DOIS
Minha vida querido (querida) não é nenhum mar de rosas 
 
ELE
Chora não 
 
ELA
Segue em paz`"
14, a Mulher Do Aníbal ,"`Que briga é aquela que tem acolá
É a mulher do Anibal com Zé do Angá
Numa brincadeira lá no brejo do véio
A mulher do Anibal foi pra lá dançar
Vocês não sabem o que aconteceu
O Zé, inxirido, quis lhe conquistar
De madrugada terminada da festa
Era gente à beça a se retirar
No meio da estrada o pau tava comendo
Era a mulher do Aníbal e Zé do Angá
Que briga é aquela que tem acolá...

Perguntei:""por que brigam vocês dois agora?""
Ela diz: ""este cabra quis me conquistar
Então fui obrigada a quebrar-lhe a cara
Para mulher de homem saber respeitar""
O dotô Xumara, subdelegado
Veio ver o ocorrido
Quando chegou no local da luta
O Zé do Angá havia morrido
Que briga é aquela que tem acolá`"
15, a Noiva Da Cidade ,"`Tutu-Marambá não venha mais cá
Que a mãe da criança te manda matar''
Tutu-Marambá não venha mais cá
Que a mãe da criança te manda matar''

Ai, como essa moça é descuidada
Com a janela escancarada
Quer dormir impunemente
Ou será que a moça lá no alto
Não escuta o sobressalto
Do coração da gente

Ai, quanto descuido o dessa moça
Que papai tá lá na roça
E mamãe foi passear
E todo marmanjo da cidade
Quer entrar
Nos versos da cantiga de ninar
Pra ser um Tutu-Marambá

Ai, como essa moça é distraída
Sabe lá se está vestida
Ou se dorme transparente
Ela sabe muito bem que quando adormece
Está roubando
O sono de outra gente

Ai, quanta maldade a dessa moça
E, que aqui ninguém nos ouça
Ela sabe enfeitiçar
Pois todo marmanjo da cidade
Quer entrar
Nos sonhos que ela gosta de sonhar
E ser um Tutu-Marambá

Boi, boi, boi, boi da cara preta
Pega essa menina que tem medo de careta''`"
16, a Ostra E O Vento ,"`Vai a onda
Vem a nuvem
Cai a folha
Quem sopra meu nome?
Raia o dia
Tem sereno
O pai ralha
Meu bem trouxe um perfume?
O meu amigo secreto
Põe meu coração a balançar
Pai, o tempo está virando
Pai, me deixa respirar o vento
Vento

Nem um barco
Nem um peixe
Cai a tarde
Quem sabe meu nome?
Paisagem
Ninguém se mexe
Paira o sol
Meu bem terá ciúme?
Meu namorado erradio
Sai de déu em déu a me buscar
Pai, olha que o tempo vira
Pai, me deixa caminhar ao vento
Vento

Se o mar tem o coral
A estrela, o caramujo
Um galeão no lodo
Jogada num quintal
Enxuta, a concha guarda o mar
No seu estojo
Ai, meu amor para sempre
Nunca me conceda descansar
Pai, o tempo vai virar
Meu pai, deixa me carregar o vento
Vento
Vento, vento`"
17, a Permuta Dos Santos ,"`São José de porcelana vai morar
Na matriz da Imaculada Conceição
O Bom José desalojado
Pode agora despertar
E acudir os seus fiéis sem terra, sem trabalho e pão

Vai a Virgem de alabastro Conceição
Na charola para a igreja do Bonfim
A Conceição incomodada
Vai ouvir nossa oração
Nos livrar da seca, da enxurrada e da estação ruim

Bom Jesus de luz neon sai do Bonfim
Pra capela de São Carlos Barromeu
O bom Jesus contrariado
Deve se lembrar enfim
De mandar o tempo de fartura que nos prometeu

Barromeu pedra-sabão vai pro altar
Pertencente à estrela-mãe de Nazaré
A Nazaré vai de jumento
Pro mosteiro de São Joào
E o Evangelista pra basílica de São José

Mas se a vida mesmo assim não melhorar
Os beatos vão largar a boa-fé
E as paróquias com seus santos
Tudo fora de lugar
Santo que quiser voltar pra casa
Só se for a pé`"
18, A Pousada do Bom Barão ,"`Todos
Vamos tratar uma hospedagem
Pra descansar e seguir viagem

Gata
Olha que linda aquela pensão
Se chama ``pousada do bom barão''

Jumento
Para mim, esse nome, não sei não

Galinha
Já tou por aqui de tanto barão

Gata
Mas vamos, mas vamos, não custa tentar
É só pruma noite e depois se mandar

Cachorro
Ai, ai, ali tem uma placa
Que cheira a uma bruta urucubaca

Todos
Proibida a entrada
Exijo gravata e dados pessoais
Proibido aos mendigos e aos animais
Ahhhhhhhhhhhhhh!!!

Jumento
Puxa, puxa, que desacato
Eu, afinal, sou jumento ou rato?

Cachorro
Poxa, poxa, que desrespeito
Se duvidar, eu entro no peito

Galinha
Cacilda, cacilda, que bela tramóia
Já tava pensando numa bóia

Gata
Que bode, que bode, mas isso é o fim
Parece que todos estão contra mim

Crianças
Tentem olhar ali pela janela
Quem sabe não tem ninguém dentro dela
E se for assim vocês podem entrar
Fazer uma boca e se arrancar

Jumento
Puxa, puxa, o que é que estou vendo?
Vivendo e aprendendo, vivendo e aprendendo
Tem quatro pessoas naquele salão
E uma das quatro é o meu patrão

Cachorro
Poxa, poxa, vejam vocês
É o meu patrão já com os outros três

Gata
Que grilo, que grilo, não é uma boa
Aquela coroa é a minha patroa

Galinha
Cacilda, cacilda, coisa de maluco
É o meu patrão que tá com o trabuco

Crianças
Caramba, caramba, como é que é
Eu acho que é hora de dar no pé
Pra quem não quiser entrar de gaiato
O melhor negócio é dormir no mato

Todos
Caramba, caramba, como é que é
Eu acho que é hora de dar no pé
Pra quem não quiser entrar de gaiato
O melhor negócio é dormir no mato

Jumento
Porém, porém, já tou fulo da vida
Ter toda a razão e nenhuma comida

Cachorro
A minha barriga não se acostuma
A ter toda razão e comida nenhuma

Galinha
Porém, porém, já me sinto aflita
Me sinto assada, acho que tou frita

Gata
É já, é já, vamos sentar a pua
Botar os safados no meio da rua

Todos
Quatro juntos braços dados
Damos o fora nesses safados
Braços dados juntos quatro
Chutar os safados pra fora do teatro
Dados juntos quatro braços
E esses safados já tão no bagaço
Quatro braços dados juntos
E esses safados vão virar presunto`"
19, a Rita ,"`A Rita levou meu sorriso
No sorriso dela
Meu assunto
Levou junto com ela
O que me é de direito
E arrancou-me do peito
E tem mais
Levou seu retrato, seu trapo, seu prato
Que papel!
Uma imagem de São Francisco
E um bom disco de Noel

A Rita matou nosso amor de vingança
Nem herança deixou
Não levou um tostão
Porque não tinha não
Mas causou perdas e danos
Levou os meus planos
Meus pobres enganos
Os meus vinte anos
O meu coração
E além de tudo
Me deixou mudo
Um violão`"
20, a Rosa ,"`Arrasa o meu projeto de vida
Querida, estrela do meu caminho
Espinho cravado em minha garganta
Garganta
A santa às vezes troca meu nome
E some

E some nas altas da madrugada
Coitada, trabalha de plantonista
Artista, é doida pela Portela
Ói ela
Ói ela, vestida de verde e rosa

A Rosa garante que é sempre minha
Quietinha, saiu pra comprar cigarro
Que sarro, trouxe umas coisas do Norte
Que sorte
Que sorte, voltou toda sorridente

Demente, inventa cada carícia
Egípcia, me encontra e me vira a cara
Odara, gravou meu nome na blusa
Abusa, me acusa
Revista os bolsos da calça

A falsa limpou a minha carteira
Maneira, pagou a nossa despesa
Beleza, na hora do bom me deixa, se queixa
A gueixa
Que coisa mais amorosa
A Rosa

Ah, Rosa, e o meu projeto de vida?
Bandida, cadê minha estrela guia
Vadia, me esquece na noite escura
Mas jura
Me jura que um dia volta pra casa

Arrasa o meu projeto de vida
Querida, estrela do meu caminho
Espinho cravado em minha garganta
Garganta
A santa às vezes me chama Alberto
Alberto

Decerto sonhou com alguma novela
Penélope, espera por mim bordando
Suando, ficou de cama com febre
Que febre
A lebre, como é que ela é tão fogosa
A Rosa

A Rosa jurou seu amor eterno
Meu terno ficou na tinturaria
Um dia me trouxe uma roupa justa
Me gusta, me gusta
Cismou de dançar um tango

Meu rango sumiu lá da geladeira
Caseira, seu molho é uma maravilha
Que filha, visita a família em Sampa
Às pampa, às pampa
Voltou toda descascada

A fada, acaba com a minha lira
A gira, esgota a minha laringe
Esfinge, devora a minha pessoa
À toa, a boa
Que coisa mais saborosa
A Rosa

Ah, Rosa, e o meu projeto de vida?
Bandida, cadê minha estrela guia?
Vadia, me esquece na noite escura
Mas jura
Me jura que um dia volta pra casa`"
